id,year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,bounding_box,created_at,hierarchy_level,parent_entity
e5ba1c81-b0a3-40f0-8b3e-e8348ba19f6c,2024,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),5473799,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
e9419441-f507-43ea-800e-bb3a719efada,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),15395349,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
e9ce7e9a-828d-44f5-a263-13e48f2f20b0,2024,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Changes in Experience,70973,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
ea207d32-fcac-4a90-83a4-b45eed900724,2024,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),50484,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
ec5b82ee-f87d-4149-8160-468141b456ff,2024,A,Net Assets,Component Units > Metropolitan School Department,Restricted for: Education,770646,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
ed55b4fd-9d8b-4eca-bf25-9323c8ac8b67,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),2630412,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
f14f6a6f-1732-4d15-bd20-09c84a719fdb,2024,A,Net Assets,Component Units > Metropolitan School Department,Restricted for: Pensions,1465224,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
f210d7fd-d508-471b-8a93-996f3b609aba,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Assumptions,233064,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
f51034ea-d32c-4e0b-941f-83dbb52ee430,2024,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Public Health and Welfare,163746,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
f52d05e1-5fe1-4906-9cff-4363a0557aab,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Contributions After Measurement Date,55701,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
f54ebd4c-3f51-4aab-9b5a-f767156eb986,2024,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),8465052,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Business-type Activities
f79eb048-7af9-4b52-a3fd-69570ba8e891,2024,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),196499,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Business-type Activities
fec14167-4c69-4fc0-b211-d8526b746a62,2024,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),295126,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,School Department
