year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,hierarchy_level,parent_entity
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),36684,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),16771000,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),657224,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),22821313,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Deferred Current Property Taxes,3862439,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),139177,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),212807,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),478906,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Proportion,65837,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Net Assets,Component Units > Metropolitan School Department,Unrestricted,74421,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Total Deferred Outflows of Resources,144544,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Other Purposes,0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Contributions After Measurement Date,420802,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),517346,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),1773748,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Deferred Inflows of Resources,Primary Government > Governmental Activities,Deferred Current Property Taxes,4249622,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),2711883,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Assumptions,161895,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
