line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
a5639b3d-fbcc-4b11-9138-47fb4e13cd38,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,Total Primary Government,4888136,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,total,total_primary_government
a78cf5db-3c8b-4270-8a1f-5a1c9fa47fd0,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Total Governmental Activities,3167491,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,subtotal,governmental_activities
a9c1ab95-b609-4f18-9ec4-bf2b240adf08,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Other Local Taxes,Governmental Activities,266,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
b68c394d-82d5-42c1-91da-6d7fdcad50cf,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Public Safety,520183,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
b757de9f-efd4-48f0-b942-d77d6a03d6bf,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,Finance,306960,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
b946c3d1-d2b2-40db-a488-4330e0f50dab,B_2024,,2024,B,General Revenues,General Revenues > Miscellaneous,Metropolitan School Department,20059,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
b9655967-0f08-4010-9fa1-5c2f10b40f3e,B_2024,,2024,B,General Revenues,General Revenues > Grants and Contributions Not Restricted to Specific Programs,Total Primary Government,776338,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
c526bc0d-cdf1-4fac-91ef-45a5aee485e8,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,"Social, Cultural, and Recreational Services",1295,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
cef828db-c07e-4056-8a59-29312c9c8e7e,B_2024,,2024,B,General Revenues,General Revenues > Total General Revenues,Total Primary Government,6883876,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,total,total_primary_government
d35cb66c-cb7f-4b7c-90b0-945122061356,B_2024,,2024,B,General Revenues,General Revenues > Unrestricted Investment Income,Business-type Activities,90712,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,business_type_activities
